,tweet,tokens
0, She should ask a few native Americans what their take on this is ,"['ask', 'nat', 'am', 'tak']"
1,  Go home you re drunk      MAGA  Trump          ,"['go', 'hom', 'drunk', 'mag', 'trump']"
2,Amazon is investigating Chinese employees who are selling internal data to third party sellers looking for an edge in the competitive marketplace    Amazon  MAGA  KAG  CHINA  TCOT,"['amazon', 'investig', 'chines', 'employ', 'sel', 'intern', 'dat', 'third', 'party', 'sel', 'look', 'edg', 'competit', 'marketplac', 'amazon', 'mag', 'kag', 'chin', 'tcot']"
3, Someone shouldTaken  this piece of shit to a volcano    ,"['someon', 'shouldtak', 'piec', 'shit', 'volcano']"
4,  Obama wanted liberals  amp  illegals to move into red states,"['obam', 'want', 'lib', 'amp', 'illeg', 'mov', 'red', 'stat']"
5, Liberals are all Kookoo    ,"['lib', 'kookoo']"
6,  Oh noes  Tough shit ,"['oh', 'no', 'tough', 'shit']"
7, was literally just talking about this lol all mass shootings like that have been set ups  it s propaganda used to divide us on major issues like gun control and terrorism,"['lit', 'talk', 'lol', 'mass', 'shoot', 'lik', 'set', 'up', 'propagand', 'us', 'divid', 'maj', 'issu', 'lik', 'gun', 'control', 'ter']"
8, Buy more icecream   ,"['buy', 'icecream']"
9, Canada doesn t need another CUCK  We already have enough  LooneyLeft  Liberals f  king up our great country   Qproofs  TrudeauMustGo,"['canad', 'nee', 'anoth', 'cuck', 'already', 'enough', 'looneyleft', 'lib', 'king', 'gre', 'country', 'qproofs', 'trudeaumustgo']"
10,   It s not my fault you support gun control,"['fault', 'support', 'gun', 'control']"
11, What s the difference between  Kavanaugh and    One of these men admitted to groping a    year old girl years ago   The other is going to be  confirmed to the SCJ    DemsareFrauds  DemsAreDone    WalkAwayDemocrats      redwave  VoteRedSaveAmerica  trumptrain  MAGA ,"['diff', 'kavanaugh', 'on', 'men', 'admit', 'grop', 'year', 'old', 'girl', 'year', 'ago', 'going', 'confirm', 'scj', 'demsarefraud', 'demsaredon', 'walkawaydemocr', 'redwav', 'voteredsaveameric', 'trumptrain', 'mag']"
12, you are a lying corrupt traitor    Nobody wants to hear anymore of your lies     DeepStateCorruption ,"['lying', 'corrupt', 'trait', 'nobody', 'want', 'hear', 'anym', 'lie', 'deepstatecorrupt']"
13,   It should scare every American   She is playing Hockey with a warped puck ,"['scar', 'every', 'am', 'play', 'hockey', 'warp', 'puck']"
14,                                                  I like my soda like I like my boarders with a lot of ICE ,"['lik', 'sod', 'lik', 'lik', 'board', 'lot', 'ic']"
15, you are also the king of taste,"['also', 'king', 'tast']"
16, MAGA     Sing like no one is listening     Love like you never been hurt     Vote GOP when no one is watching     And do listen to Liberals  dirt ,"['mag', 'sing', 'lik', 'on', 'list', 'lov', 'lik', 'nev', 'hurt', 'vot', 'gop', 'on', 'watch', 'list', 'lib', 'dirt']"
